book_filename,pipeline_type,status,started_at,completed_at,output_folder,error_message,relevancy_target
2A014.pdF,ONLYFLASHCARDS,COMPLETED,2025-01-26 10:30:00,2025-01-26 11:45:00,flashcards,,Programming techniques and ML implementation details
001.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 00:13:29,2025-10-27 00:13:44,flashcards,,General technical concepts and principles
002.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 00:13:44,,flashcards,,General technical concepts and principles
1B001 - Proofs - Jay Cumming.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 00:21:20,2025-10-27 01:13:05,flashcards,Pipeline execution failed,Mathematical proof techniques and logical reasoning
1C001 - A COMPUTATIONAL INTRODUCTION TO NUMBER THEORY AND ALGEBRA.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 01:13:05,2025-10-27 01:13:21,flashcards,Pipeline execution failed,Number theory algorithms and mathematical concepts
2A004 - Hands-On Large Language Models.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 01:13:21,2025-10-27 01:55:36,flashcards,Pipeline execution failed,LLM implementation techniques and practical applications
2A007 - Build a Large Language Model.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 01:55:36,2025-10-27 02:19:59,flashcards,Reset from stuck PROCESSING state,LLM architecture and implementation techniques
2A012 - Reinforcement Learning.pdf,ONLYFLASHCARDS,PROCESSING,2025-11-03 00:04:11,2025-11-02 04:23:16,flashcards,Pipeline execution failed,RL algorithms and implementation techniques
2A014.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 08:37:38,,flashcards,,Programming techniques and ML implementation details
2B001  Financial Data Engineering.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 11:42:24,2025-11-03 01:20:34,flashcards,Pipeline execution failed,Financial data modeling and quantitative techniques
2B002 - Fundamentals of Data Engineering.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 08:40:54,2025-10-27 09:37:29,flashcards,,Data engineering patterns and infrastructure techniques
2B004 Data Governance.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 10:39:05,2025-10-27 11:06:05,flashcards,,Data governance principles and best practices
029 - Understanding Distributed Systems (2021) Roberto Vitillo -.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 11:09:32,2025-10-27 11:42:24,flashcards,,Distributed systems concepts and design patterns
Sam Newman - Building Microservices-O'Reilly Media (2015).pdf,ONLYFLASHCARDS,PROCESSING,2025-11-02 23:37:02,2025-11-02 10:39:02,flashcards,Pipeline timed out - partial results may exist,Microservices architecture patterns and practices
10A000 - Fluent.Python.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 11:47:35,2025-11-03 00:04:11,flashcards,Pipeline execution failed,Python programming techniques and idioms
